@relation 'factores-weka.filters.unsupervised.attribute.Remove-R1,6,8'

@attribute P4 {R1,R2,R3,R4}
@attribute P5 {R1,R2,R3,R4}
@attribute P8 {R1,R2,R3,R4}
@attribute P9 {R1,R2,R3,R4}
@attribute P17 {R1,R2,R3,R4}
@attribute P20 {R1,R2,R3,R4}
@attribute P21 {R1,R2,R3,R4}
@attribute P23 {R1,R2,R3,R4}
@attribute P24 {R1,R2,R3,R4}

@data
R4,R2,R3,R3,R4,R3,R4,R1,R2
R1,R1,R2,R2,R4,R4,R4,R2,R2
R1,R1,R2,R2,R4,R2,R3,R1,R3
R1,R1,R1,R1,R3,R3,R3,R1,R3
R3,R3,R2,R2,R4,R3,R4,R1,R3
R1,R3,R3,R1,R4,R3,R4,R1,R3
R1,R3,R2,R2,R4,R3,R3,R2,R3
R1,R2,R1,R2,R3,R2,R3,R1,R1
R1,R2,R2,R1,R4,R3,R3,R2,R3
R3,R3,R2,R2,R1,R3,R4,R3,R3
R1,R3,R3,R3,R4,R3,R3,R3,R3
R1,R3,R3,R3,R1,R3,R4,R2,R3
R1,R2,R1,R3,R4,R4,R4,R1,R2
R1,R1,R3,R3,R4,R3,R4,R2,R2
R1,R2,R2,R3,R4,R4,R4,R2,R2
R1,R2,R3,R3,R4,R4,R4,R1,R3
R1,R2,R2,R1,R2,R2,R3,R1,R2
R1,R3,R4,R3,R4,R3,R4,R2,R2
R2,R2,R3,R2,R4,R4,R4,R1,R3
R2,R3,R2,R3,R4,R3,R3,R1,R2
R1,R1,R2,R2,R4,R3,R4,R2,R2
R2,R3,R3,R2,R4,R2,R3,R2,R2
R1,R2,R3,R2,R4,R4,R2,R1,R3
R1,R2,R1,R1,R3,R3,R3,R3,R3
R1,R3,R2,R3,R1,R3,R3,R2,R2
R1,R3,R3,R2,R4,R2,R3,R2,R3
R1,R2,R2,R2,R4,R3,R4,R2,R2
R1,R1,R2,R2,R4,R3,R3,R1,R3
R1,R3,R3,R3,R4,R4,R4,R3,R3
R1,R2,R2,R2,R4,R4,R3,R1,R3
R2,R2,R2,R2,R4,R3,R3,R1,R2
R1,R2,R1,R1,R4,R4,R4,R1,R2
R1,R1,R2,R1,R3,R1,R3,R1,R3
R1,R2,R2,R2,R3,R2,R4,R1,R3
R3,R2,R2,R2,R4,R3,R3,R1,R3
R1,R1,R2,R2,R4,R1,R4,R2,R3
R1,R2,R2,R4,R4,R2,R3,R2,R2
R4,R3,R4,R2,R4,R3,R3,R2,R2
R1,R2,R4,R2,R4,R3,R2,R3,R2
R1,R3,R2,R2,R4,R2,R2,R2,R3
R2,R2,R2,R3,R4,R4,R4,R2,R2
R1,R3,R4,R3,R3,R2,R4,R3,R2
R2,R3,R2,R3,R4,R3,R4,R2,R2
R4,R3,R2,R2,R4,R4,R3,R1,R2
R1,R3,R2,R2,R4,R3,R4,R1,R2
R1,R1,R2,R3,R4,R3,R4,R1,R2
R1,R1,R3,R3,R4,R3,R3,R1,R2
R1,R1,R2,R1,R1,R1,R4,R1,R3
R2,R3,R3,R4,R4,R4,R4,R1,R3
R3,R3,R2,R2,R4,R3,R4,R1,R3
R1,R2,R1,R1,R3,R2,R3,R1,R2
R1,R2,R4,R1,R4,R4,R3,R2,R2
R1,R3,R2,R2,R4,R4,R4,R1,R2
R1,R2,R2,R2,R4,R3,R1,R2,R2
R1,R2,R2,R2,R3,R3,R3,R1,R2
R1,R2,R2,R3,R1,R2,R3,R1,R2
R1,R3,R2,R2,R4,R3,R3,R2,R2
R2,R3,R2,R2,R4,R3,R4,R2,R3
R1,R3,R2,R2,R4,R3,R3,R2,R3
R2,R2,R2,R1,R4,R3,R2,R1,R2
R1,R3,R2,R2,R4,R4,R4,R1,R2
R1,R3,R2,R2,R4,R3,R3,R1,R2
R1,R2,R3,R3,R4,R3,R4,R1,R2
R2,R3,R2,R3,R4,R3,R4,R3,R2
R1,R2,R2,R2,R4,R3,R4,R1,R2
R3,R2,R2,R2,R3,R3,R3,R1,R3
R2,R2,R2,R3,R4,R2,R4,R1,R2
R1,R2,R3,R4,R4,R4,R3,R2,R2
R1,R3,R2,R1,R4,R2,R3,R2,R2
R1,R2,R2,R2,R4,R4,R4,R1,R2
R4,R3,R2,R2,R4,R4,R4,R3,R3
R1,R1,R1,R1,R4,R3,R1,R1,R3
R1,R3,R2,R2,R4,R4,R4,R2,R3
R1,R2,R2,R1,R4,R4,R1,R1,R3
R1,R2,R2,R1,R4,R3,R3,R1,R2
R1,R2,R3,R2,R4,R3,R4,R1,R4
R1,R3,R1,R1,R4,R4,R4,R1,R4
R1,R2,R2,R3,R3,R3,R3,R1,R2
R1,R3,R3,R2,R3,R3,R3,R1,R3
R1,R3,R4,R2,R4,R4,R4,R2,R1
R1,R2,R2,R3,R4,R3,R2,R3,R3
R1,R3,R4,R2,R4,R4,R3,R4,R4
R2,R2,R2,R1,R4,R4,R3,R1,R4
R1,R2,R2,R1,R4,R3,R3,R3,R2
R1,R4,R3,R3,R4,R3,R4,R3,R3
R2,R3,R3,R4,R4,R4,R4,R3,R3
R1,R3,R4,R4,R3,R2,R3,R3,R3
R2,R3,R3,R2,R2,R2,R3,R2,R2
R1,R2,R3,R4,R4,R2,R3,R2,R2
R1,R3,R2,R4,R3,R2,R2,R1,R2
R2,R1,R2,R3,R3,R4,R3,R1,R2
R1,R1,R1,R1,R4,R4,R3,R1,R4
R1,R2,R1,R1,R4,R2,R4,R1,R3
R1,R1,R1,R2,R3,R2,R2,R1,R2
R1,R3,R2,R2,R4,R3,R3,R1,R2
R2,R3,R4,R4,R3,R4,R3,R2,R1
R1,R3,R2,R2,R4,R3,R4,R1,R4
R1,R2,R4,R3,R4,R3,R3,R2,R3
R1,R3,R4,R4,R4,R4,R4,R2,R4
R1,R4,R4,R4,R4,R2,R3,R4,R3
R1,R3,R3,R4,R4,R3,R4,R4,R2
R1,R3,R2,R3,R4,R2,R2,R4,R2
R1,R1,R2,R1,R4,R3,R4,R1,R3
R1,R1,R1,R1,R4,R4,R4,R1,R4
R1,R3,R3,R3,R4,R4,R4,R1,R2
R1,R3,R4,R4,R4,R3,R3,R1,R1
R3,R3,R4,R4,R3,R3,R3,R2,R1
R1,R3,R3,R1,R4,R3,R4,R2,R3
R1,R3,R2,R2,R4,R3,R4,R1,R3
R2,R3,R2,R1,R4,R2,R4,R3,R3
R2,R3,R2,R2,R1,R1,R3,R1,R1
R1,R1,R4,R4,R4,R4,R4,R4,R1
R1,R2,R4,R4,R4,R3,R4,R1,R4
R1,R3,R4,R3,R4,R3,R3,R4,R3
R1,R2,R1,R1,R4,R3,R4,R2,R3
R1,R3,R3,R3,R3,R3,R1,R3,R3
R1,R2,R2,R2,R4,R3,R4,R2,R4
R1,R3,R4,R4,R4,R4,R4,R3,R4
R1,R3,R2,R1,R4,R2,R3,R3,R3
R1,R3,R3,R2,R3,R4,R4,R1,R3
R1,R2,R2,R2,R3,R3,R3,R1,R2
R1,R2,R2,R4,R4,R3,R3,R2,R4
R1,R3,R3,R3,R4,R3,R3,R2,R1
R1,R3,R3,R3,R4,R4,R3,R3,R3
R1,R2,R3,R4,R4,R2,R3,R2,R2
R1,R3,R2,R4,R3,R2,R2,R1,R2
R2,R1,R2,R3,R3,R4,R3,R1,R2
R1,R1,R1,R1,R4,R4,R3,R1,R4
R1,R2,R1,R1,R4,R2,R4,R1,R3
R1,R1,R1,R2,R3,R2,R2,R1,R2
R1,R3,R2,R2,R4,R3,R3,R1,R2
R2,R3,R4,R4,R3,R4,R3,R2,R1
R1,R3,R2,R2,R4,R3,R4,R1,R4
R1,R2,R4,R3,R4,R3,R3,R2,R3
R1,R3,R4,R4,R4,R4,R4,R2,R4
R1,R4,R4,R4,R4,R2,R3,R4,R3
R1,R3,R3,R4,R4,R3,R4,R4,R2
R1,R3,R2,R3,R4,R2,R2,R4,R2
R1,R1,R2,R1,R4,R3,R4,R1,R3
R1,R1,R1,R1,R4,R4,R4,R1,R4
